"proposed_url","page_title","cluster","intent","reason","gsc_evidence","parent_hub","internal_link_sources","priority","implemented"
"renting-with-defaults.html","Renting With Defaults | Credit Roadmap UK","Renting and Credit","educational","Answers a distinct UK credit-file or application-readiness question.","Strategic topical gap adjacent to credit checks and guarantor/affordability questions; built as small controlled cluster.","renting-credit-help.html","index.html | renting-credit-help.html | roadmap.html","A","yes"
"credit-checks-for-renting.html","Credit Checks for Renting | Credit Roadmap UK","Renting and Credit","educational","Answers a distinct UK credit-file or application-readiness question.","Strategic topical gap adjacent to credit checks and guarantor/affordability questions; built as small controlled cluster.","renting-credit-help.html","index.html | renting-credit-help.html | roadmap.html","A","yes"
"guarantor-for-renting-with-bad-credit.html","Guarantor for Renting With Bad Credit | Credit Roadmap UK","Renting and Credit","educational","Answers a distinct UK credit-file or application-readiness question.","Strategic topical gap adjacent to credit checks and guarantor/affordability questions; built as small controlled cluster.","renting-credit-help.html","index.html | renting-credit-help.html | roadmap.html","A","yes"
"improve-credit-before-renting.html","Improve Credit Before Renting | Credit Roadmap UK","Renting and Credit","educational","Answers a distinct UK credit-file or application-readiness question.","Strategic topical gap adjacent to credit checks and guarantor/affordability questions; built as small controlled cluster.","renting-credit-help.html","index.html | renting-credit-help.html | roadmap.html","A","yes"
"personal-loan-eligibility-bad-credit.html","Personal Loan Eligibility With Bad Credit | Credit Roadmap UK","Personal Loans","educational","Answers a distinct UK credit-file or application-readiness question.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"can-i-get-a-loan-with-defaults.html","Can I Get a Loan With Defaults? | Credit Roadmap UK","Personal Loans","educational","Answers a distinct UK credit-file or application-readiness question.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"can-i-get-a-loan-after-bankruptcy.html","Can I Get a Loan After Bankruptcy? | Credit Roadmap UK","Personal Loans","educational","Answers a distinct UK credit-file or application-readiness question.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"loan-application-credit-checks-explained.html","Loan Application Credit Checks Explained | Credit Roadmap UK","Personal Loans","educational","Answers a distinct UK credit-file or application-readiness question.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"improve-credit-before-applying-for-a-loan.html","Improve Credit Before Applying for a Loan | Credit Roadmap UK","Personal Loans","educational","Answers a distinct UK credit-file or application-readiness question.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"rejected-for-a-loan-what-next.html","Rejected for a Loan: What Next? | Credit Roadmap UK","Personal Loans","educational","Answers a distinct UK credit-file or application-readiness question.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"loan-affordability-and-credit-checks.html","Loan Affordability and Credit Checks | Credit Roadmap UK","Personal Loans","educational","Answers a distinct UK credit-file or application-readiness question.","Existing CCJ loan page but no defaults/bankruptcy/rejection/affordability loan cluster.","personal-loans-and-credit.html","index.html | personal-loans-and-credit.html | roadmap.html | ccj-help.html","A","yes"
"satisfied-default-credit-score.html","Satisfied Default and Credit Score | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"unsatisfied-default-credit-file.html","Unsatisfied Default on a Credit File | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"incorrect-default-on-credit-report.html","Incorrect Default on Credit Report | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"multiple-defaults-credit-file.html","Multiple Defaults on a Credit File | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"settled-vs-satisfied-defaults.html","Settled vs Satisfied Defaults | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"satisfied-ccj-credit-file.html","Satisfied CCJ on a Credit File | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"unsatisfied-ccj-credit-file.html","Unsatisfied CCJ on a Credit File | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"multiple-ccjs-credit-file.html","Multiple CCJs on a Credit File | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"paying-a-ccj-after-judgment.html","Paying a CCJ After Judgment | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"applying-for-credit-after-a-ccj.html","Applying for Credit After a CCJ | Credit Roadmap UK","CCJs and Defaults","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows CCJ/default detail demand and existing pages ranking; added status-specific support without replacing core pages.","defaults-and-credit-problems.html","index.html | defaults-and-credit-problems.html | roadmap.html | ccj-help.html","A","yes"
"credit-event-timeline.html","Credit Event Timeline | Credit Roadmap UK","Credit Recovery Timelines","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
"how-long-after-credit-rejection-apply-again.html","How Long After Credit Rejection Should I Apply Again? | Credit Roadmap UK","Credit Recovery Timelines","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
"how-long-after-default-satisfaction-can-i-apply.html","How Long After Default Satisfaction Can I Apply? | Credit Roadmap UK","Credit Recovery Timelines","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
"what-to-check-before-applying-for-credit.html","What to Check Before Applying for Credit | Credit Roadmap UK","Credit Recovery Timelines","educational","Answers a distinct UK credit-file or application-readiness question.","GSC shows application timing, CCJ/default age and report-date questions; existing timeline tool was broad.","credit-recovery-timelines.html","index.html | credit-recovery-timelines.html | roadmap.html","A","yes"
